product_id,category,brand,base_price
P00001,Bakery,Pepsi,137
P00002,Beverage,Wall's,95
P00003,PersonalCare,Colgate,109
P00004,Snack,Pocky,147
P00005,IceCream,Wall's,13
P00006,Beverage,7Bakery,69
P00007,Dairy,MAMA,91
P00008,Dairy,Oishi,211
P00009,Snack,DutchMill,64
P00010,PersonalCare,MAMA,128
P00011,Dairy,Meiji,10
P00012,Dairy,MAMA,204
P00013,Snack,Foremost,52
P00014,PersonalCare,DutchMill,98
P00015,Beverage,DutchMill,52
P00016,Snack,MAMA,197
P00017,PersonalCare,Colgate,190
P00018,PersonalCare,Pocky,189
P00019,PersonalCare,CP,74
P00020,Bakery,Pocky,42
P00021,InstantFood,Oishi,152
P00022,Snack,7Bakery,186
P00023,ReadyToEat,DutchMill,108
P00024,InstantFood,7Bakery,75
P00025,InstantFood,Wall's,54
P00026,Beverage,Coke,71
P00027,Bakery,Meiji,168
P00028,Beverage,Coke,124
P00029,Bakery,Colgate,67
P00030,PersonalCare,Nestle,69
P00031,Dairy,Wall's,28
P00032,Bakery,CP,95
P00033,Beverage,Colgate,153
P00034,Beverage,KitKat,169
P00035,Dairy,Coke,129
P00036,ReadyToEat,DutchMill,173
P00037,Grocery,Colgate,106
P00038,PersonalCare,Wall's,49
P00039,InstantFood,Nestle,217
P00040,ReadyToEat,DutchMill,214
P00041,Grocery,MAMA,73
P00042,Snack,CP,66
P00043,IceCream,Oreo,132
P00044,ReadyToEat,MAMA,140
P00045,Grocery,Lays,44
P00046,Beverage,7Bakery,180
P00047,Snack,7Bakery,84
P00048,Bakery,Oreo,128
P00049,Bakery,Oishi,50
P00050,IceCream,Pepsi,192
P00051,Grocery,Lays,49
P00052,InstantFood,Lays,100
P00053,ReadyToEat,Pepsi,125
P00054,Grocery,Foremost,109
P00055,IceCream,KitKat,44
P00056,Grocery,Coke,136
P00057,ReadyToEat,Pocky,175
P00058,Dairy,Oreo,197
P00059,PersonalCare,Coke,140
P00060,InstantFood,Oreo,102
P00061,Dairy,Lays,39
P00062,InstantFood,KitKat,33
P00063,Beverage,Coke,60
P00064,Snack,Meiji,13
P00065,Beverage,Oreo,204
P00066,Dairy,Lays,53
P00067,InstantFood,KitKat,214
P00068,Bakery,Oishi,214
P00069,IceCream,DutchMill,208
P00070,Beverage,Coke,107
P00071,PersonalCare,KitKat,185
P00072,ReadyToEat,Oishi,179
P00073,Bakery,CP,114
P00074,ReadyToEat,Lays,43
P00075,Bakery,7Bakery,118
P00076,Bakery,7Bakery,71
P00077,InstantFood,Oishi,109
P00078,Snack,Coke,51
P00079,Beverage,Foremost,149
P00080,Snack,Wall's,20
P00081,Grocery,Coke,60
P00082,ReadyToEat,MAMA,47
P00083,Beverage,Coke,196
P00084,Beverage,Nestle,155
P00085,PersonalCare,Oreo,137
P00086,Snack,Lays,218
P00087,ReadyToEat,Oreo,66
P00088,PersonalCare,Wall's,23
P00089,Dairy,Sprite,206
P00090,Grocery,Sprite,120
P00091,ReadyToEat,CP,62
P00092,Bakery,Pepsi,144
P00093,ReadyToEat,MAMA,22
P00094,Snack,Colgate,102
P00095,PersonalCare,Coke,88
P00096,ReadyToEat,Wall's,143
P00097,Snack,Oishi,75
P00098,Snack,Coke,112
P00099,Beverage,Nestle,160
P00100,IceCream,CP,76
P00101,Grocery,DutchMill,187
P00102,Snack,Coke,81
P00103,PersonalCare,KitKat,40
P00104,IceCream,Meiji,164
P00105,InstantFood,Pocky,207
P00106,Bakery,Colgate,133
P00107,Snack,Sprite,79
P00108,Beverage,Coke,43
P00109,IceCream,Coke,163
P00110,Snack,CP,49
P00111,Bakery,Oishi,35
P00112,Grocery,Pocky,136
P00113,IceCream,Wall's,39
P00114,Grocery,Foremost,25
P00115,Grocery,Colgate,42
P00116,ReadyToEat,Oreo,16
P00117,Snack,Meiji,153
P00118,Beverage,7Bakery,175
P00119,Beverage,Oreo,205
P00120,PersonalCare,Foremost,117
P00121,Snack,Pepsi,89
P00122,Beverage,Lays,82
P00123,ReadyToEat,Sprite,89
P00124,ReadyToEat,MAMA,183
P00125,Dairy,Nestle,104
P00126,IceCream,Oishi,149
P00127,Grocery,Pocky,163
P00128,PersonalCare,Meiji,198
P00129,InstantFood,Nestle,113
P00130,Beverage,Meiji,167
P00131,Snack,KitKat,95
P00132,Grocery,Pocky,85
P00133,Bakery,Pepsi,136
P00134,Grocery,Oishi,111
P00135,IceCream,Pocky,183
P00136,Snack,Oreo,216
P00137,Dairy,Coke,208
P00138,PersonalCare,Oreo,144
P00139,Beverage,KitKat,93
P00140,Snack,Foremost,74
P00141,Dairy,Meiji,165
P00142,ReadyToEat,Sprite,195
P00143,ReadyToEat,KitKat,13
P00144,Dairy,Pocky,100
P00145,Beverage,MAMA,56
P00146,PersonalCare,Coke,90
P00147,PersonalCare,Colgate,46
P00148,Snack,7Bakery,73
P00149,PersonalCare,7Bakery,194
P00150,InstantFood,Wall's,29
P00151,Bakery,Meiji,82
P00152,PersonalCare,Wall's,116
P00153,Beverage,Foremost,57
P00154,Beverage,Sprite,100
P00155,Beverage,7Bakery,129
P00156,Snack,Lays,19
P00157,Grocery,Sprite,111
P00158,Beverage,Colgate,196
P00159,Bakery,Pocky,68
P00160,InstantFood,7Bakery,58
P00161,IceCream,7Bakery,212
P00162,Bakery,7Bakery,183
P00163,InstantFood,MAMA,169
P00164,Bakery,Oreo,109
P00165,InstantFood,7Bakery,89
P00166,IceCream,7Bakery,190
P00167,IceCream,Coke,48
P00168,Bakery,Pepsi,61
P00169,Beverage,Pocky,105
P00170,Beverage,Sprite,200
P00171,InstantFood,KitKat,99
P00172,Dairy,DutchMill,155
P00173,Snack,Oishi,194
P00174,Snack,CP,86
P00175,Bakery,Coke,90
P00176,InstantFood,Nestle,205
P00177,Bakery,Oreo,161
P00178,InstantFood,Oreo,112
P00179,InstantFood,Coke,70
P00180,Bakery,Pepsi,210
P00181,InstantFood,KitKat,38
P00182,ReadyToEat,Oreo,64
P00183,Beverage,Pepsi,206
P00184,Bakery,Oishi,166
P00185,ReadyToEat,Oishi,153
P00186,PersonalCare,Colgate,105
P00187,Dairy,Foremost,105
P00188,Dairy,Lays,76
P00189,Dairy,MAMA,137
P00190,ReadyToEat,Pocky,53
P00191,IceCream,Pocky,64
P00192,Bakery,Pepsi,47
P00193,Bakery,Pepsi,13
P00194,Beverage,Oishi,108
P00195,InstantFood,KitKat,111
P00196,PersonalCare,Nestle,193
P00197,IceCream,DutchMill,86
P00198,PersonalCare,Foremost,178
P00199,IceCream,Coke,41
P00200,PersonalCare,7Bakery,29
P00201,ReadyToEat,Sprite,169
P00202,IceCream,Lays,45
P00203,Grocery,Oishi,103
P00204,IceCream,Sprite,175
P00205,IceCream,DutchMill,74
P00206,ReadyToEat,CP,177
P00207,Beverage,Sprite,24
P00208,Grocery,Coke,80
P00209,Bakery,CP,31
P00210,Beverage,Nestle,191
P00211,ReadyToEat,Oishi,216
P00212,IceCream,Foremost,212
P00213,Bakery,Nestle,148
P00214,PersonalCare,Pocky,93
P00215,IceCream,DutchMill,190
P00216,ReadyToEat,MAMA,197
P00217,IceCream,Meiji,131
P00218,Snack,Pocky,217
P00219,InstantFood,7Bakery,195
P00220,Dairy,Foremost,160
P00221,Dairy,Oishi,55
P00222,Dairy,7Bakery,57
P00223,Beverage,Wall's,91
P00224,ReadyToEat,Foremost,143
P00225,Beverage,Lays,87
P00226,Beverage,Sprite,184
P00227,Beverage,Oishi,126
P00228,Snack,DutchMill,62
P00229,Snack,Foremost,200
P00230,ReadyToEat,Nestle,29
P00231,PersonalCare,Coke,26
P00232,Bakery,Pocky,18
P00233,Grocery,Sprite,122
P00234,PersonalCare,CP,106
P00235,Beverage,7Bakery,68
P00236,IceCream,Pepsi,123
P00237,Grocery,MAMA,161
P00238,ReadyToEat,Colgate,98
P00239,ReadyToEat,Oreo,197
P00240,Grocery,KitKat,16
P00241,Grocery,Foremost,156
P00242,Dairy,Oreo,219
P00243,Snack,Pepsi,77
P00244,InstantFood,Oishi,36
P00245,ReadyToEat,MAMA,162
