transaction_id,user_id,product_id_x,qty,price,timestamp,store_id,is_online,promo_id,category,brand,base_price,zone,province,profile,promo_type,product_id_y,discount,start_date,end_date,promo_id_used,target
PMTX0000001,U0001,P0650,5,266,28/07/2025 09:14,S028,False,PR0030,InstantFoods,Brand_027,109,6.0,เชียงใหม่,Office,Buy 1 get 1,P0650,100.0,08/07/2025 10:40,29/08/2025 10:40,PR0030,1
PMTX0000002,U0001,P0269,4,87,18/09/2025 02:11,S023,False,PR0039,HealthBeauty,Brand_036,41,4.0,สุราษฎร์ธานี,Gas Station,Brandday,P0269,48.0,11/09/2025 16:31,20/09/2025 16:31,PR0039,1
PMTX0000003,U0001,P0259,3,172,19/08/2025 23:34,S029,False,PR0074,Beverages,Brand_027,75,8.0,กรุงเทพฯ,Hospital,Brandday,P0259,25.0,30/07/2025 07:52,18/09/2025 07:52,PR0074,1
PMTX0000004,U0001,P0812,5,389,11/09/2025 14:48,S049,False,PR0079,PersonalCare,Brand_050,109,8.0,สุราษฎร์ธานี,Factory,Flash Sale,P0812,30.0,11/09/2025 08:18,20/09/2025 08:18,PR0079,1
PMTX0000005,U0001,P0079,3,248,22/08/2025 21:42,S012,False,PR0059,PersonalCare,Brand_045,162,9.0,กรุงเทพฯ,Gas Station,Buy 1 get 1,P0079,100.0,21/08/2025 05:41,29/08/2025 05:41,PR0059,1
PMTX0000006,U0001,P0656,5,189,09/08/2025 03:01,S005,False,PR0084,ReadyToEat,Brand_007,75,10.0,ภูเก็ต,Tourist Attraction,Buy 1 get 1,P0656,100.0,01/08/2025 09:18,10/09/2025 09:18,PR0084,1
PMTX0000007,U0001,P0291,4,120,18/08/2025 13:20,S022,False,PR0005,InstantFoods,Brand_036,59,6.0,นครราชสีมา,Hospital,Buy 1 get 1,P0291,100.0,13/07/2025 09:56,23/08/2025 09:56,PR0005,1
PMTX0000008,U0002,P0738,2,152,29/08/2025 08:44,S009,False,PR0017,HealthBeauty,Brand_047,84,8.0,นครราชสีมา,Office,Product_Coupon,P0738,11.0,20/08/2025 06:52,01/09/2025 06:52,PR0017,1
PMTX0000009,U0002,P0097,4,155,20/08/2025 11:09,S035,False,PR0036,Snacks,Brand_031,50,12.0,อุบลราชธานี,Gas Station,Brandday,P0097,21.0,09/08/2025 13:59,10/09/2025 13:59,PR0036,1
PMTX0000010,U0002,P0934,5,693,10/09/2025 08:44,S019,False,PR0086,Household,Brand_034,184,4.0,สงขลา,Residential/Market,Product_Coupon,P0934,25.0,13/08/2025 21:42,12/09/2025 21:42,PR0086,1
PMTX0000011,U0002,P0656,5,183,05/08/2025 07:35,S043,False,PR0084,ReadyToEat,Brand_007,75,8.0,ขอนแก่น,Gas Station,Buy 1 get 1,P0656,100.0,01/08/2025 09:18,10/09/2025 09:18,PR0084,1
PMTX0000012,U0002,P0934,2,281,12/09/2025 05:07,,True,PR0086,Household,Brand_034,184,Online,Online,Online,Product_Coupon,P0934,25.0,13/08/2025 21:42,12/09/2025 21:42,PR0086,1
PMTX0000013,U0002,P0380,4,82,07/08/2025 19:38,S029,False,PR0048,Beverages,Brand_035,42,8.0,กรุงเทพฯ,Hospital,Buy 1 get 1,P0380,100.0,21/07/2025 13:39,30/08/2025 13:39,PR0048,1
PMTX0000014,U0002,P0650,5,267,27/08/2025 08:31,S029,False,PR0030,InstantFoods,Brand_027,109,8.0,กรุงเทพฯ,Hospital,Buy 1 get 1,P0650,100.0,08/07/2025 10:40,29/08/2025 10:40,PR0030,1
PMTX0000015,U0002,P0259,3,171,12/08/2025 09:54,S001,False,PR0074,Beverages,Brand_027,75,3.0,สุราษฎร์ธานี,Residential/Market,Brandday,P0259,25.0,30/07/2025 07:52,18/09/2025 07:52,PR0074,1
PMTX0000016,U0003,P0726,2,192,18/07/2025 14:15,,True,PR0071,HealthBeauty,Brand_018,155,Online,Online,Online,Brandday,P0726,40.0,28/06/2025 22:44,20/08/2025 22:44,PR0071,1
PMTX0000017,U0003,P0993,4,406,13/09/2025 11:52,S045,False,PR0076,PersonalCare,Brand_004,129,10.0,นครราชสีมา,Gas Station,Product_Coupon,P0993,19.0,13/08/2025 06:42,15/09/2025 06:42,PR0076,1
PMTX0000018,U0003,P0107,5,147,19/09/2025 13:55,S037,False,PR0006,Household,Brand_026,38,10.0,ขอนแก่น,Educational Institution,Mega Sale,P0107,22.0,01/08/2025 16:08,21/09/2025 16:08,PR0006,1
PMTX0000019,U0003,P0934,2,268,29/08/2025 21:16,S006,False,PR0086,Household,Brand_034,184,12.0,นนทบุรี,Educational Institution,Product_Coupon,P0934,25.0,13/08/2025 21:42,12/09/2025 21:42,PR0086,1
