transaction_id,timestamp,tx_date,user_id,store_id,product_id,qty,price,promo_id,is_online,promo_type,discount,start_date,end_date,festival_name,festival_category,InFestival,zone,province,profile,category,brand,base_price,promo_product_id
TX0000001,2025-08-15 10:33:00,2025-08-15,U0001,S020,P0189,4,371,,,,,,,,,0,6,ขอนแก่น,Entertainment Venue,DairyBakery,Brand_023,93,
TX0000002,2025-08-01 09:09:00,2025-08-01,U0001,S018,P0110,5,311,,,,,,,,,0,6,กรุงเทพฯ,Educational Institution,DairyBakery,Brand_010,64,
TX0000003,2025-08-25 13:00:00,2025-08-25,U0001,S047,P0056,5,718,,,,,,,,,0,8,ภูเก็ต,Hospital,PersonalCare,Brand_044,131,
TX0000004,2025-08-02 07:49:00,2025-08-02,U0001,S027,P0426,5,383,,,,,,,,,0,9,กรุงเทพฯ,Educational Institution,Beverages,Brand_008,75,
TX0000005,2025-08-30 01:21:00,2025-08-30,U0001,S036,P0957,3,914,,,,,,,,,0,10,กรุงเทพฯ,Entertainment Venue,Others,Brand_009,285,
TX0000006,2025-07-29 00:49:00,2025-07-29,U0001,S026,P0883,2,139,,,,,,,,,0,1,สุราษฎร์ธานี,Transport Hub,DairyBakery,Brand_040,69,
TX0000007,2025-08-15 03:55:00,2025-08-15,U0001,S002,P0754,5,319,,,,,,,,,0,5,สุราษฎร์ธานี,Hospital,ReadyToEat,Brand_041,60,
TX0000008,2025-06-27 02:41:00,2025-06-27,U0001,S040,P0522,2,141,,,,,,,,,0,1,ชลบุรี,Residential/Market,Household,Brand_006,70,
TX0000009,2025-08-02 06:53:00,2025-08-02,U0001,S021,P0513,4,610,,,,,,,,,0,1,ภูเก็ต,Transport Hub,ReadyToEat,Brand_009,142,
TX0000010,2025-07-06 03:30:00,2025-07-06,U0001,S037,P0916,3,293,,,,,,,,,0,10,ขอนแก่น,Educational Institution,ReadyToEat,Brand_046,90,
TX0000011,2025-07-05 13:07:00,2025-07-05,U0001,S030,P0264,5,780,,,,,,,,,0,2,อุบลราชธานี,Gas Station,Household,Brand_011,162,
TX0000012,2025-07-04 09:23:00,2025-07-04,U0001,S009,P0840,3,518,,,,,,,,,0,8,นครราชสีมา,Office,HealthBeauty,Brand_001,170,
TX0000013,2025-07-18 19:58:00,2025-07-18,U0001,S006,P0541,3,116,,,,,,,,,0,12,นนทบุรี,Educational Institution,InstantFoods,Brand_021,39,
TX0000014,2025-08-29 14:37:00,2025-08-29,U0002,S014,P0497,2,33,,,,,,,,,0,11,สุราษฎร์ธานี,Factory,Snacks,Brand_025,17,
TX0000015,2025-07-17 09:13:00,2025-07-17,U0002,S024,P0303,1,148,,,,,,,,,0,12,อุบลราชธานี,Entertainment Venue,Others,Brand_047,153,
TX0000016,2025-08-12 02:49:00,2025-08-12,U0002,S022,P0542,1,49,,,,,,,วันแม่แห่งชาติ (Mother's Day),วันพิเศษไทย,1,6,นครราชสีมา,Hospital,Beverages,Brand_015,50,
