transaction_id,user_id,product_id,qty,price,timestamp,is_online,store_id,promo_id
PMTX0000001,U0001,P0562,1,60,30/08/2025 08:02,False,S019,PR0030
PMTX0000002,U0001,P0323,5,125,11/09/2025 04:10,False,S042,PR0031
PMTX0000003,U0001,P0186,1,42,15/07/2025 09:52,False,S010,PR0017
PMTX0000004,U0001,P0895,3,202,07/07/2025 22:43,False,S025,PR0010
PMTX0000005,U0001,P0057,2,18,14/08/2025 10:36,True,,PR0016
PMTX0000006,U0001,P0369,4,576,04/08/2025 16:35,False,S037,PR0045
PMTX0000007,U0001,P0498,5,324,04/09/2025 02:00,False,S004,PR0048
PMTX0000008,U0001,P0002,5,284,11/08/2025 03:51,False,S028,PR0009
PMTX0000009,U0002,P0242,5,68,01/08/2025 10:16,True,,PR0043
PMTX0000010,U0002,P0355,4,133,05/07/2025 14:53,True,,PR0099
PMTX0000011,U0002,P0339,3,285,23/07/2025 01:33,False,S004,PR0088
PMTX0000012,U0002,P0934,1,36,06/08/2025 12:10,False,S042,PR0060
PMTX0000013,U0002,P0108,4,458,06/07/2025 21:53,True,,PR0095
PMTX0000014,U0002,P0675,4,110,15/07/2025 04:35,False,S041,PR0072
PMTX0000015,U0002,P0096,2,249,15/07/2025 16:19,False,S048,PR0038
PMTX0000016,U0002,P0408,1,38,29/08/2025 20:37,False,S015,PR0067
PMTX0000017,U0003,P0875,1,28,24/08/2025 04:35,False,S026,PR0003
PMTX0000018,U0003,P0857,1,82,15/08/2025 05:26,False,S037,PR0027
PMTX0000019,U0003,P0103,3,277,30/06/2025 16:04,True,,PR0024
PMTX0000020,U0003,P0759,3,189,18/07/2025 09:14,False,S014,PR0052
PMTX0000021,U0004,P0425,5,226,02/08/2025 10:49,False,S006,PR0076
PMTX0000022,U0004,P0657,3,119,05/07/2025 03:05,False,S020,PR0013
PMTX0000023,U0004,P0559,2,201,07/09/2025 21:40,False,S036,PR0069
PMTX0000024,U0004,P0857,5,412,28/07/2025 08:19,False,S020,PR0027
PMTX0000025,U0004,P0184,1,47,30/07/2025 17:21,False,S010,PR0042
PMTX0000026,U0004,P0047,4,112,11/08/2025 08:11,True,,PR0034
PMTX0000027,U0004,P0302,2,161,10/09/2025 00:55,True,,PR0021
PMTX0000028,U0005,P0159,1,116,23/07/2025 19:35,False,S038,PR0065
PMTX0000029,U0005,P0945,2,70,14/07/2025 15:59,False,S009,PR0085
PMTX0000030,U0005,P0293,3,100,03/07/2025 19:19,True,,PR0007
PMTX0000031,U0005,P0242,2,28,01/08/2025 20:51,True,,PR0043
PMTX0000032,U0005,P0675,3,85,09/07/2025 09:23,False,S006,PR0072
PMTX0000033,U0005,P0369,3,450,03/08/2025 01:57,False,S006,PR0045
PMTX0000034,U0005,P0759,1,64,07/08/2025 08:14,False,S040,PR0052
PMTX0000035,U0005,P0481,4,157,18/08/2025 21:14,False,S036,PR0073
PMTX0000036,U0006,P0072,1,89,28/08/2025 18:17,False,S002,PR0056
PMTX0000037,U0006,P0653,1,71,01/09/2025 19:45,False,S050,PR0098
PMTX0000038,U0006,P0418,1,83,08/08/2025 05:06,False,S017,PR0049
PMTX0000039,U0006,P0979,4,287,27/06/2025 19:09,False,S005,PR0097
PMTX0000040,U0006,P0355,4,133,08/08/2025 01:56,False,S002,PR0099
PMTX0000041,U0006,P0659,3,104,06/07/2025 03:32,False,S036,PR0086
PMTX0000042,U0006,P0659,1,36,11/07/2025 07:39,True,,PR0086
PMTX0000043,U0006,P0885,1,164,21/07/2025 14:02,False,S040,PR0087
PMTX0000044,U0006,P0339,3,277,20/07/2025 02:53,True,,PR0088
PMTX0000045,U0007,P0667,2,170,22/08/2025 21:31,False,S049,PR0053
PMTX0000046,U0007,P0186,2,42,12/08/2025 23:08,False,S001,PR0017
PMTX0000047,U0007,P0242,5,66,13/08/2025 22:58,False,S022,PR0043
PMTX0000048,U0007,P0108,2,231,03/07/2025 17:30,False,S002,PR0095
PMTX0000049,U0007,P0152,1,73,29/07/2025 12:19,False,S030,PR0032
PMTX0000050,U0007,P0260,1,26,28/07/2025 16:30,False,S016,PR0068
PMTX0000051,U0007,P0405,3,199,12/07/2025 05:55,False,S028,PR0054
PMTX0000052,U0007,P0408,1,39,28/08/2025 03:08,True,,PR0067
PMTX0000053,U0008,P0884,3,450,06/07/2025 20:14,False,S033,PR0070
PMTX0000054,U0008,P0559,4,399,13/09/2025 15:00,True,,PR0069
PMTX0000055,U0008,P0186,2,42,16/08/2025 01:06,False,S002,PR0017
PMTX0000056,U0008,P0184,5,119,31/07/2025 15:41,False,S015,PR0042
PMTX0000057,U0008,P0340,5,1042,06/07/2025 07:25,False,S015,PR0011
PMTX0000058,U0008,P0791,1,139,07/07/2025 16:09,False,S004,PR0066
PMTX0000059,U0008,P0502,1,25,03/09/2025 06:47,False,S033,PR0041
PMTX0000060,U0009,P0047,4,113,23/09/2025 09:04,False,S037,PR0034
PMTX0000061,U0009,P0808,2,218,02/07/2025 02:46,False,S004,PR0082
PMTX0000062,U0009,P0072,1,89,02/09/2025 05:22,True,,PR0056
PMTX0000063,U0009,P0408,3,113,10/08/2025 08:21,False,S029,PR0067
PMTX0000064,U0009,P0720,5,185,31/07/2025 19:44,True,,PR0064
PMTX0000065,U0009,P0667,1,86,27/08/2025 17:46,True,,PR0053
PMTX0000066,U0009,P0006,2,326,13/07/2025 06:12,False,S049,PR0002
PMTX0000067,U0010,P0675,5,144,08/07/2025 21:12,False,S012,PR0072
PMTX0000068,U0010,P0538,3,569,31/07/2025 20:01,False,S019,PR0083
PMTX0000069,U0010,P0759,2,128,18/07/2025 23:19,False,S047,PR0052
PMTX0000070,U0010,P0684,4,104,05/08/2025 09:04,False,S028,PR0004
PMTX0000071,U0010,P0808,3,322,05/07/2025 06:19,False,S039,PR0082
PMTX0000072,U0010,P0488,5,155,30/06/2025 21:59,False,S015,PR0090
PMTX0000073,U0011,P0875,3,83,04/09/2025 03:04,False,S044,PR0003
PMTX0000074,U0011,P0857,3,241,06/09/2025 10:39,False,S004,PR0027
PMTX0000075,U0011,P0213,2,86,28/08/2025 07:41,False,S004,PR0008
PMTX0000076,U0012,P0051,2,98,02/09/2025 17:43,False,S031,PR0047
PMTX0000077,U0012,P0159,1,115,24/07/2025 23:52,False,S016,PR0065
PMTX0000078,U0012,P0791,1,133,25/07/2025 20:31,True,,PR0066
PMTX0000079,U0012,P0429,5,165,19/08/2025 19:46,False,S001,PR0006
PMTX0000080,U0013,P0657,5,203,21/07/2025 07:09,False,S009,PR0013
PMTX0000081,U0013,P0260,2,51,01/08/2025 14:36,False,S007,PR0068
