transaction_id,user_id,product_id,qty,price,timestamp,store_id,is_online,products.category,products.brand,products.base_price,stores.zone,stores.province,stores.profile,promo_id
TX0000510,U0038,P0442,4,694,22/9/2025 1:44,S042,FALSE,Others,Brand_001,181,4,อุบลราชธานี,Gas Station,
TX0000764,U0058,P0689,4,514,21/9/2025 20:21,S042,FALSE,HealthBeauty,Brand_032,120,4,อุบลราชธานี,Gas Station,
TX0001136,U0086,P0078,4,460,29/6/2025 4:36,S042,FALSE,DairyBakery,Brand_002,110,4,อุบลราชธานี,Gas Station,
TX0001608,U0117,P0653,4,390,25/6/2025 23:37,S042,FALSE,Household,Brand_012,92,4,อุบลราชธานี,Gas Station,
TX0001699,U0125,P0843,4,462,4/8/2025 1:28,S042,FALSE,HealthBeauty,Brand_006,111,4,อุบลราชธานี,Gas Station,
TX0001879,U0137,P0174,4,338,15/8/2025 3:31,S042,FALSE,Others,Brand_006,83,4,อุบลราชธานี,Gas Station,
TX0001894,U0138,P0944,4,259,21/9/2025 11:16,S042,FALSE,HealthBeauty,Brand_008,59,4,อุบลราชธานี,Gas Station,
TX0001955,U0142,P0451,4,133,10/7/2025 15:10,S042,FALSE,Household,Brand_007,31,4,อุบลราชธานี,Gas Station,
TX0002188,U0156,P0842,4,174,12/7/2025 3:41,S042,FALSE,Snacks,Brand_042,42,4,อุบลราชธานี,Gas Station,
TX0002565,U0182,P0982,4,551,15/8/2025 15:13,S042,FALSE,PersonalCare,Brand_049,131,4,อุบลราชธานี,Gas Station,
TX0002656,U0189,P0799,4,1072,29/6/2025 12:40,S042,FALSE,Others,Brand_050,252,4,อุบลราชธานี,Gas Station,
TX0002866,U0205,P0543,4,432,24/8/2025 17:03,S042,FALSE,PersonalCare,Brand_041,108,4,อุบลราชธานี,Gas Station,
TX0002867,U0205,P0642,4,211,30/7/2025 13:00,S042,FALSE,Beverages,Brand_033,48,4,อุบลราชธานี,Gas Station,
TX0003542,U0249,P0186,4,406,29/7/2025 23:56,S042,FALSE,InstantFoods,Brand_020,103,4,อุบลราชธานี,Gas Station,
TX0004732,U0338,P0462,4,242,4/9/2025 16:49,S042,FALSE,Household,Brand_004,58,4,อุบลราชธานี,Gas Station,
TX0004907,U0349,P0521,4,1039,22/9/2025 16:40,S042,FALSE,Others,Brand_009,255,4,อุบลราชธานี,Gas Station,
TX0004960,U0352,P0311,4,1245,23/8/2025 12:09,S042,FALSE,Others,Brand_017,287,4,อุบลราชธานี,Gas Station,
TX0004975,U0353,P0498,4,270,1/9/2025 4:31,S042,FALSE,InstantFoods,Brand_044,65,4,อุบลราชธานี,Gas Station,
TX0005187,U0366,P0168,4,578,26/8/2025 6:54,S042,FALSE,FrozenFoods,Brand_045,132,4,อุบลราชธานี,Gas Station,
TX0005520,U0388,P0905,4,558,19/7/2025 3:44,S042,FALSE,PersonalCare,Brand_031,131,4,อุบลราชธานี,Gas Station,
TX0005684,U0399,P0696,4,269,3/7/2025 13:52,S042,FALSE,Beverages,Brand_025,62,4,อุบลราชธานี,Gas Station,
TX0005708,U0401,P0864,4,347,23/7/2025 19:22,S042,FALSE,FrozenFoods,Brand_035,84,4,อุบลราชธานี,Gas Station,
TX0005767,U0404,P0669,4,166,11/8/2025 11:54,S042,FALSE,HealthBeauty,Brand_013,40,4,อุบลราชธานี,Gas Station,
TX0005865,U0410,P0314,4,128,23/9/2025 8:03,S042,FALSE,InstantFoods,Brand_045,30,4,อุบลราชธานี,Gas Station,
TX0006628,U0464,P0083,4,152,27/6/2025 23:31,S042,FALSE,InstantFoods,Brand_046,37,4,อุบลราชธานี,Gas Station,
TX0006778,U0475,P0614,4,725,29/6/2025 7:41,S042,FALSE,HealthBeauty,Brand_019,184,4,อุบลราชธานี,Gas Station,
TX0006900,U0483,P0851,4,380,24/7/2025 15:09,S042,FALSE,FrozenFoods,Brand_049,87,4,อุบลราชธานี,Gas Station,
TX0006923,U0484,P0097,4,202,2/9/2025 19:24,S042,FALSE,Snacks,Brand_031,50,4,อุบลราชธานี,Gas Station,
TX0007220,U0508,P0929,4,927,29/8/2025 2:11,S042,FALSE,Others,Brand_023,216,4,อุบลราชธานี,Gas Station,
TX0007337,U0516,P0441,4,153,16/9/2025 2:41,S042,FALSE,Snacks,Brand_008,35,4,อุบลราชธานี,Gas Station,
TX0007370,U0520,P0923,4,264,3/8/2025 5:26,S042,FALSE,Beverages,Brand_030,66,4,อุบลราชธานี,Gas Station,
TX0008039,U0568,P0927,4,652,25/8/2025 14:45,S042,FALSE,FrozenFoods,Brand_036,161,4,อุบลราชธานี,Gas Station,
TX0008148,U0575,P0142,4,589,19/7/2025 23:31,S042,FALSE,HealthBeauty,Brand_041,149,4,อุบลราชธานี,Gas Station,
TX0008259,U0583,P0284,4,143,2/9/2025 11:05,S042,FALSE,Beverages,Brand_032,35,4,อุบลราชธานี,Gas Station,
TX0008388,U0592,P0946,4,189,29/6/2025 6:31,S042,FALSE,FrozenFoods,Brand_019,49,4,อุบลราชธานี,Gas Station,
TX0008750,U0617,P0675,4,390,4/9/2025 0:39,S042,FALSE,Household,Brand_006,95,4,อุบลราชธานี,Gas Station,
TX0008780,U0619,P0752,4,256,17/8/2025 19:46,S042,FALSE,PersonalCare,Brand_045,61,4,อุบลราชธานี,Gas Station,
TX0008851,U0625,P0981,4,357,22/9/2025 4:29,S042,FALSE,ReadyToEat,Brand_024,85,4,อุบลราชธานี,Gas Station,
TX0009051,U0641,P0240,4,806,27/8/2025 5:04,S042,FALSE,Others,Brand_044,211,4,อุบลราชธานี,Gas Station,
TX0009117,U0645,P0500,4,156,11/7/2025 20:06,S042,FALSE,DairyBakery,Brand_016,40,4,อุบลราชธานี,Gas Station,
TX0009131,U0646,P0730,4,114,17/7/2025 4:35,S042,FALSE,Beverages,Brand_017,30,4,อุบลราชธานี,Gas Station,
TX0009308,U0658,P0258,4,431,26/8/2025 8:34,S042,FALSE,Household,Brand_036,111,4,อุบลราชธานี,Gas Station,
TX0009480,U0670,P0216,4,192,31/7/2025 0:17,S042,FALSE,Beverages,Brand_050,49,4,อุบลราชธานี,Gas Station,
TX0009821,U0695,P0480,4,214,23/9/2025 6:00,S042,FALSE,InstantFoods,Brand_028,49,4,อุบลราชธานี,Gas Station,
TX0010042,U0710,P0067,4,409,11/7/2025 7:48,S042,FALSE,InstantFoods,Brand_023,95,4,อุบลราชธานี,Gas Station,
TX0010074,U0712,P0073,4,777,1/8/2025 9:28,S042,FALSE,HealthBeauty,Brand_038,197,4,อุบลราชธานี,Gas Station,
TX0010128,U0715,P0296,4,553,14/8/2025 23:12,S042,FALSE,HealthBeauty,Brand_013,141,4,อุบลราชธานี,Gas Station,
TX0010274,U0725,P0529,4,192,20/9/2025 0:27,S042,FALSE,InstantFoods,Brand_032,46,4,อุบลราชธานี,Gas Station,
TX0010343,U0731,P0540,4,173,5/8/2025 23:06,S042,FALSE,Snacks,Brand_045,44,4,อุบลราชธานี,Gas Station,
TX0010607,U0752,P0646,4,468,18/9/2025 19:23,S042,FALSE,InstantFoods,Brand_010,112,4,อุบลราชธานี,Gas Station,
TX0010875,U0771,P0700,4,356,7/9/2025 1:49,S042,FALSE,FrozenFoods,Brand_007,86,4,อุบลราชธานี,Gas Station,
TX0010997,U0780,P0272,4,851,1/9/2025 4:13,S042,FALSE,HealthBeauty,Brand_005,198,4,อุบลราชธานี,Gas Station,
TX0011163,U0792,P0536,4,570,24/7/2025 8:22,S042,FALSE,ReadyToEat,Brand_002,130,4,อุบลราชธานี,Gas Station,
